source,category,recovery_delta,propainter_psnr_delta,e2fgvi_hq_psnr_delta,mean_psnr_delta
I-211208_O05025_T05,both_backends_negative,0.050782445273529486,-1.3042693138122559,-0.6038360595703125,-0.9540526866912842
I-211203_O02011_T12,propainter_only_negative,0.030730604395053707,-0.6909084320068359,0.07406997680664062,-0.30841922760009766
I-211230_O05024_W05,propainter_only_negative,-0.004217549065295811,-0.18486499786376953,0.19617748260498047,0.005656242370605469
I-211203_O02011_T31,propainter_only_negative,0.07640576645074437,-0.020163536071777344,0.30556726455688477,0.1427018642425537
I-211222_O10043_W05,e2fgvi_only_negative,0.06573467125211363,0.20410966873168945,-0.6372122764587402,-0.2165513038635254
I-211117_I08022_T03,e2fgvi_only_negative,0.09022730112894961,0.0375211238861084,-0.06770992279052734,-0.015094399452209473
I-211228_I06020_T13,e2fgvi_only_negative,0.13834950815140412,0.0482175350189209,-0.06181073188781738,-0.006796598434448242
I-211206_O11046_W04,e2fgvi_only_negative,0.011916111291694675,0.11366653442382812,-0.031142234802246094,0.041262149810791016
I-211117_I08022_T07,e2fgvi_only_negative,0.1437783656472531,0.19317102432250977,-0.003833293914794922,0.09466886520385742
I-211129_O05023_W38,e2fgvi_only_negative,0.17124481901390842,0.6228227615356445,-0.28621530532836914,0.1683037281036377
I-211228_O09041_W09,largest_shared_gain,0.10992628226252399,14.314014911651611,14.701094627380371,14.507554769515991
