clip,method,frames,boundary_te,bd_te,outside_changed_fraction,outside_change_mean,extra_mask_ratio,inside_change_mean,residue_diff_le_10
bike-packing,Boundary-only,69,0.022176170721650124,0.022176170721650124,0.03183648735284805,0.006060929503291845,0.32000836730003357,0.23849764466285706,0.07603353261947632
bike-packing,Temporal union,69,0.028275590389966965,0.028275590389966965,0.2881753444671631,0.05663635581731796,1.6329749822616577,0.3132712244987488,0.037599146366119385
bike-packing,Area-matched dilation,69,0.021946938708424568,0.021946938708424568,0.03679782152175903,0.006658318918198347,0.3997064530849457,0.23868320882320404,0.07423396408557892
bike-packing,Ours-Conservative,69,0.021302061155438423,0.021302061155438423,0.040352314710617065,0.0071954973973333836,0.3923676311969757,0.23086072504520416,0.07763498276472092
bike-packing,Ours-Balanced,69,0.018299343064427376,0.018299343064427376,0.06868197023868561,0.011014895513653755,0.6400622129440308,0.22743234038352966,0.08737173676490784
blackswan,Boundary-only,50,0.02730158157646656,0.02730158157646656,0.009171589277684689,0.0026781398337334394,0.17432057857513428,0.17306526005268097,0.04199840873479843
blackswan,Temporal union,50,0.024998832494020462,0.024998832494020462,0.02595173753798008,0.004736192990094423,0.7263075113296509,0.16760987043380737,0.04660063236951828
blackswan,Area-matched dilation,50,0.027173466980457306,0.027173466980457306,0.011678696610033512,0.002976319519802928,0.26625674962997437,0.1699252724647522,0.04004492238163948
blackswan,Ours-Conservative,50,0.027113165706396103,0.027113165706396103,0.011574176140129566,0.0029628134798258543,0.26819783449172974,0.172230526804924,0.04071119800209999
blackswan,Ours-Balanced,50,0.02615632861852646,0.02615632861852646,0.019915036857128143,0.003958441782742739,0.5451542735099792,0.16600686311721802,0.04776711016893387
bmx-trees,Boundary-only,80,0.06400936841964722,0.06400936841964722,0.007410699967294931,0.002477922709658742,0.9176822900772095,0.25054287910461426,0.05818971246480942
bmx-trees,Temporal union,80,0.052126575261354446,0.052126575261354446,0.05534500628709793,0.007961121387779713,12.249837875366211,0.252641499042511,0.04989182949066162
bmx-trees,Area-matched dilation,80,0.06401906907558441,0.06401906907558441,0.007317638490349054,0.0024650192353874445,0.9616966247558594,0.2504018247127533,0.05809134244918823
bmx-trees,Ours-Conservative,80,0.06346835941076279,0.06346835941076279,0.007364784833043814,0.002477657049894333,0.9642871022224426,0.2499484270811081,0.05834987014532089
bmx-trees,Ours-Balanced,80,0.06238255649805069,0.06238255649805069,0.009769822470843792,0.002795439912006259,1.6589910984039307,0.2508123815059662,0.056837886571884155
breakdance,Boundary-only,84,0.06299015134572983,0.06299015134572983,0.024149712175130844,0.005824021063745022,0.20040614902973175,0.2924097776412964,0.02240626886487007
breakdance,Temporal union,84,0.0315902978181839,0.0315902978181839,0.2942090630531311,0.060687772929668427,3.64495849609375,0.23052440583705902,0.02776149846613407
breakdance,Area-matched dilation,84,0.0626273974776268,0.0626273974776268,0.026696356013417244,0.00617445632815361,0.30114251375198364,0.29299846291542053,0.02235250174999237
breakdance,Ours-Conservative,84,0.06248850375413895,0.06248850375413895,0.027141332626342773,0.006250394973903894,0.30313628911972046,0.2926621437072754,0.02236294187605381
breakdance,Ours-Balanced,84,0.06091851741075516,0.06091851741075516,0.04156026989221573,0.008534724824130535,0.7124393582344055,0.29344719648361206,0.02209763415157795
